id,lon,lat
323376932,26.6962993,58.337481
323377116,26.7034702,58.3393592
323377122,26.703957,58.3394847
323377127,26.7057968,58.3400192
323377134,26.7076444,58.3405556
323377139,26.70979,58.3411914
323377150,26.6987589,58.3400836
323377157,26.699531,58.3387691
323377337,26.7084953,58.3397453
323377344,26.7087342,58.3396697
323377349,26.7087134,58.3396013
323377352,26.7086639,58.3395712
323377357,26.7085425,58.3395783
323377361,26.7084679,58.3396245
323377366,26.7098726,58.3410388
323377371,26.7096904,58.3401327
323377891,26.6760462,58.3525025
323377928,26.7261048,58.3863546
323377943,26.7267913,58.3867257
323377965,26.7266941,58.4009101
323377998,26.7406776,58.4014741
323378006,26.7362189,58.3993431
323378013,26.7375113,58.3990137
323378021,26.7431825,58.4031032
323378150,26.7381471,58.4034166
323378160,26.7314577,58.4053174
323378168,26.727518,58.4056547
323378174,26.7218984,58.406019
323378182,26.7273438,58.4052297
323378192,26.7362024,58.4030488
323378197,26.7372173,58.4036803
323378204,26.7271593,58.4039996
323378213,26.7269971,58.4027598
323378221,26.7269505,58.4024636
323378226,26.7267783,58.4014157
323378233,26.722214,58.4049679
323378241,26.7229773,58.40354
323378246,26.728653,58.4024212
323378255,26.7234265,58.4021455
323378327,26.7188671,58.4107726
323378333,26.7199703,58.4088329
323378533,26.7390785,58.404127
323378541,26.7349232,58.4043665
323378598,26.7340427,58.40369
323378606,26.7347646,58.4044115
323378618,26.7336317,58.4037837
323378632,26.7310233,58.401951
323378703,26.7408375,58.3902481
323378710,26.7469192,58.3838923
323378751,26.7487804,58.374114
323378758,26.7405461,58.3702079
323378780,26.7405256,58.370955
323378786,26.7392071,58.3696369
323378793,26.7390076,58.3697698
323378801,26.7385156,58.3697377
323378809,26.7383384,58.3697728
323378818,26.7380461,58.3699636
323378826,26.7380714,58.3701114
323378830,26.738299,58.3702444
323388585,26.7312252,58.3803071
324245808,26.677898,58.3673216
324245814,26.6784823,58.3672253
324245815,26.6778564,58.3669804
324245817,26.6777251,58.3671844
324245819,26.6784628,58.3670479
324245822,26.6781426,58.3669398
324245823,26.6779979,58.3666021
324245824,26.6777636,58.3670514
324245826,26.6780273,58.3677979
324245827,26.6803304,58.3562657
